Motion,Centroid,Label,Mean_Ax,Mean_Ay,Mean_Az,Mean_Gx,Mean_Gy,Mean_Gz,Max_Ax,Max_Ay,Max_Az,Max_Gx,Max_Gy,Max_Gz,Min_Ax,Min_Ay,Min_Az,Min_Gx,Min_Gy,Min_Gz,Mean_Diff_Ax,Mean_Diff_Ay,Mean_Diff_Az,Mean_Diff_Gx,Mean_Diff_Gy,Mean_Diff_Gz
non_motion,"[ 1.55780253e-01 -3.79275302e-01  9.37177695e-01 -1.12824549e-01
 -1.19429328e+00 -2.78536901e+00  1.93605867e-01 -3.12596535e-01
  1.05417760e+00  1.38553335e+01  8.76166667e+00  1.08010000e+01
  5.28178668e-02 -4.25958934e-01  9.03532000e-01 -2.10046667e+01
 -1.27213335e+01 -1.99406666e+01  7.59014778e-03 -1.59843231e-03
 -6.08074899e-03  6.23858214e-01  1.96706110e-01  3.56174757e-01]",1,0.14570285473018885,-0.3658954266990934,0.9461971478802818,-6.169999944312232,0.24499996432236262,-5.6450001027967245,0.17909599840641022,-0.3274480104446411,1.0233360528945923,7.630000114440918,13.789999961853027,1.6799999475479126,-0.02391199953854084,-0.3869839906692505,0.9203680157661438,-59.91999816894531,-4.760000228881836,-28.280000686645508,0.014151999726891518,-0.0033033834053919865,-0.006644313152019794,4.840769089185274,-0.753846124960826,1.7769231246067927
smash,"[-7.80143428e-02 -2.08145318e-02  7.62435232e-01  8.08219964e+00
  1.53197541e+01  1.84600815e+01  7.44492799e-01  1.09721920e+00
  2.05916481e+00  1.89972998e+02  3.69410999e+02  2.49318999e+02
 -1.06052161e+00 -9.90932804e-01 -8.55317605e-01 -1.75651002e+02
 -2.39344003e+02 -2.13485999e+02 -4.00555826e-02  2.54361864e-02
  4.54528629e-02 -1.28470224e+01 -1.23624667e+01  9.18298890e+00]",0,0.006246399134397507,-0.11482639908790589,0.7841672047972679,-5.928999793529511,13.145998938381672,11.864999413490295,0.985759973526001,0.5485119819641113,2.676192045211792,158.97000122070312,393.67999267578125,217.6999969482422,-1.0433440208435059,-0.9164639711380005,-0.9720960259437561,-123.9000015258789,-205.24000549316406,-227.9199981689453,-0.07433866461118062,0.06653066641754574,0.014802661206987169,-13.945555726687113,-22.82000061041779,16.885555081897312
non_motion,"[ 1.55780253e-01 -3.79275302e-01  9.37177695e-01 -1.12824549e-01
 -1.19429328e+00 -2.78536901e+00  1.93605867e-01 -3.12596535e-01
  1.05417760e+00  1.38553335e+01  8.76166667e+00  1.08010000e+01
  5.28178668e-02 -4.25958934e-01  9.03532000e-01 -2.10046667e+01
 -1.27213335e+01 -1.99406666e+01  7.59014778e-03 -1.59843231e-03
 -6.08074899e-03  6.23858214e-01  1.96706110e-01  3.56174757e-01]",1,0.2273104015737772,-0.408065602183342,0.9456463992595673,-3.6924999210983516,-5.687500105798245,2.0474998455494644,0.26840001344680786,-0.35526400804519653,1.6074719429016113,5.880000114440918,6.300000190734863,65.5199966430664,0.08686400204896927,-0.4543280005455017,0.8842560052871704,-63.41999816894531,-94.1500015258789,-22.329999923706055,0.008578525954171232,0.004494737637670417,-0.036471577067124214,3.426315690341749,4.87789481564572,-3.5626314062821236
forehand,"[ 6.22789594e-01 -2.62847004e-01  7.93893924e-01 -2.37427912e+01
 -3.68299910e+01 -1.10619087e+01  1.57423919e+00  1.96371200e-01
  1.20599439e+00  1.61398999e+02  1.01101000e+02  2.12646001e+02
 -3.93815998e-02 -6.18540001e-01  1.82121601e-01 -3.35040999e+02
 -1.41189999e+02 -4.89131995e+02 -1.47235022e-02  6.00023141e-03
  1.30794840e-02 -2.67547778e+00 -2.43996668e+00  3.98074448e+00]",2,0.6988603594628248,-0.39252945442091336,0.7262327169830148,-19.466364296999846,-47.31999973817305,-27.497270063920453,1.7709519863128662,0.42260798811912537,1.1633919477462769,141.39999389648438,145.11000061035156,168.77000427246094,0.14786399900913239,-0.7398080229759216,0.13127200305461884,-387.94000244140625,-213.36000061035156,-540.469970703125,-0.008930400013923645,-0.0350383996963501,0.0016592025756835937,-3.471999931335449,0.38500001430511477,0.175
non_motion,"[ 1.55780253e-01 -3.79275302e-01  9.37177695e-01 -1.12824549e-01
 -1.19429328e+00 -2.78536901e+00  1.93605867e-01 -3.12596535e-01
  1.05417760e+00  1.38553335e+01  8.76166667e+00  1.08010000e+01
  5.28178668e-02 -4.25958934e-01  9.03532000e-01 -2.10046667e+01
 -1.27213335e+01 -1.99406666e+01  7.59014778e-03 -1.59843231e-03
 -6.08074899e-03  6.23858214e-01  1.96706110e-01  3.56174757e-01]",1,0.19913885742425919,-0.44854171574115753,0.8923080010073525,7.060000152460167,-1.5250000059604645,0.775000026183469,0.21618400514125824,-0.39772000908851624,0.9189040064811707,64.05000305175781,4.059999942779541,16.170000076293945,0.17909599840641022,-0.5246000289916992,0.8378959894180298,-10.850000381469727,-9.449999809265137,-7.769999980926514,-0.002364923174564655,0.008446156978607178,0.006231385927933913,-4.808461776146522,0.24769229155320388,-0.7538461685180664
backhand,"[ 5.20101972e-01 -4.10080600e-01  8.35772757e-01  4.79118253e-01
 -1.16441183e+01  1.19851462e+01  1.46468319e+00  6.28983203e-01
  1.16827201e+00  8.20330009e+01  5.55030003e+01  2.83269000e+02
 -5.28504005e-02 -1.30422883e+00  5.02347201e-01 -7.33109997e+01
 -8.61700001e+01 -3.25023996e+02 -2.77183999e-02  2.82345949e-02
  2.65829883e-02 -3.63136668e+00  1.06742222e+00 -3.41817775e+00]",3,0.5149863988161087,-0.39000960886478425,0.8629792034626007,1.666000062227249,-19.019000148773195,10.5490008354187,1.4088560342788696,0.4050399959087372,1.264407992362976,49.06999969482422,51.45000076293945,286.5799865722656,-0.019519999623298645,-1.4781520366668701,0.44944798946380615,-63.13999938964844,-112.13999938964844,-292.17999267578125,-0.008187555604510836,0.04082933399412367,0.013067556752098931,0.7855555481380887,4.674444304572211,-6.860000186496311
non_motion,"[ 1.55780253e-01 -3.79275302e-01  9.37177695e-01 -1.12824549e-01
 -1.19429328e+00 -2.78536901e+00  1.93605867e-01 -3.12596535e-01
  1.05417760e+00  1.38553335e+01  8.76166667e+00  1.08010000e+01
  5.28178668e-02 -4.25958934e-01  9.03532000e-01 -2.10046667e+01
 -1.27213335e+01 -1.99406666e+01  7.59014778e-03 -1.59843231e-03
 -6.08074899e-03  6.23858214e-01  1.96706110e-01  3.56174757e-01]",1,0.08338293309013049,-0.2629994658132394,0.9885578711827596,-4.209333419799805,0.47600000401337944,-5.487999983628591,0.1332239955663681,-0.057096000760793686,1.0584720373153687,6.159999847412109,6.019999980926514,5.53000020980835,-0.07661599665880203,-0.29572799801826477,0.9628239870071411,-53.20000076293945,-6.860000133514404,-24.780000686645508,0.010387428104877472,-0.015964572184852192,-0.00578628693308149,-0.125,-0.1349999957851001,1.8100000492164068
smash,"[-7.80143428e-02 -2.08145318e-02  7.62435232e-01  8.08219964e+00
  1.53197541e+01  1.84600815e+01  7.44492799e-01  1.09721920e+00
  2.05916481e+00  1.89972998e+02  3.69410999e+02  2.49318999e+02
 -1.06052161e+00 -9.90932804e-01 -8.55317605e-01 -1.75651002e+02
 -2.39344003e+02 -2.13485999e+02 -4.00555826e-02  2.54361864e-02
  4.54528629e-02 -1.28470224e+01 -1.23624667e+01  9.18298890e+00]",0,-0.1579656068235636,-0.0038552001118659974,0.7299016078934073,8.210999357700349,11.465999802947044,6.839000082015991,0.5982879996299744,0.8915759921073914,1.755336046218872,152.17999267578125,319.4100036621094,239.3300018310547,-1.2121920585632324,-1.1951119899749756,-0.7280960083007812,-178.63999938964844,-298.3399963378906,-200.1300048828125,-0.04755289024776883,0.05704177584913042,0.04131733708911472,-20.14444438616435,-20.782222969664467,15.89000039630466
non_motion,"[ 1.55780253e-01 -3.79275302e-01  9.37177695e-01 -1.12824549e-01
 -1.19429328e+00 -2.78536901e+00  1.93605867e-01 -3.12596535e-01
  1.05417760e+00  1.38553335e+01  8.76166667e+00  1.08010000e+01
  5.28178668e-02 -4.25958934e-01  9.03532000e-01 -2.10046667e+01
 -1.27213335e+01 -1.99406666e+01  7.59014778e-03 -1.59843231e-03
 -6.08074899e-03  6.23858214e-01  1.96706110e-01  3.56174757e-01]",1,0.09301279895007611,-0.38534919917583466,0.9613356053829193,-3.405500005185604,-2.6915000483393667,3.307499958947301,0.14737600088119507,-0.27962398529052734,1.3473680019378662,7.980000019073486,13.649999618530273,40.810001373291016,0.07661599665880203,-0.4269999861717224,0.9247599840164185,-48.720001220703125,-29.610000610351562,-6.510000228881836,0.0005393683126098231,-0.006087158855639006,-0.021240842969794022,2.78157901763916,1.451578980997989,-2.2878948136379846
forehand,"[ 6.22789594e-01 -2.62847004e-01  7.93893924e-01 -2.37427912e+01
 -3.68299910e+01 -1.10619087e+01  1.57423919e+00  1.96371200e-01
  1.20599439e+00  1.61398999e+02  1.01101000e+02  2.12646001e+02
 -3.93815998e-02 -6.18540001e-01  1.82121601e-01 -3.35040999e+02
 -1.41189999e+02 -4.89131995e+02 -1.47235022e-02  6.00023141e-03
  1.30794840e-02 -2.67547778e+00 -2.43996668e+00  3.98074448e+00]",2,0.5997032023966312,-0.2693271994590759,0.8093479923903942,-25.20000114440918,-25.76000052690506,-16.813998770713805,1.5103600025177002,0.13371199369430542,1.2112159729003906,155.3300018310547,134.88999938964844,195.86000061035156,-0.2908479869365692,-0.6295199990272522,0.08832799643278122,-307.510009765625,-123.4800033569336,-453.739990234375,-0.04283555431498422,0.037901331981023155,0.029551108678181965,-8.586666848924425,-6.307777669694689,13.377777920828926
